cohort_month,cohort_customers,months_since_first,active_customers,retention_pct
2019-11-01,39,34,1,2.56
2019-11-01,39,42,1,2.56
2019-11-01,39,57,1,2.56
2019-11-01,39,58,1,2.56
2019-11-01,39,62,1,2.56
2019-11-01,39,73,1,2.56
2019-12-01,48,0,48,100.0
2019-12-01,48,1,1,2.08
2019-12-01,48,5,1,2.08
2019-12-01,48,6,1,2.08
2019-12-01,48,8,2,4.17
2019-12-01,48,13,1,2.08
2019-12-01,48,20,1,2.08
2019-12-01,48,21,1,2.08
2019-12-01,48,22,1,2.08
2019-12-01,48,23,2,4.17
2019-12-01,48,27,1,2.08
2019-12-01,48,39,1,2.08
2019-12-01,48,43,2,4.17
2019-12-01,48,49,1,2.08
2019-12-01,48,51,2,4.17
2019-12-01,48,56,1,2.08
2019-12-01,48,58,1,2.08
2020-01-01,38,0,38,100.0
2020-01-01,38,1,1,2.63
2020-01-01,38,7,1,2.63
2020-01-01,38,17,1,2.63
2020-01-01,38,33,1,2.63
2020-01-01,38,37,1,2.63
2020-01-01,38,47,1,2.63
2020-01-01,38,49,1,2.63
2020-01-01,38,50,1,2.63
2020-01-01,38,54,2,5.26
2020-01-01,38,63,1,2.63
2020-01-01,38,64,1,2.63
2020-01-01,38,74,1,2.63
2020-02-01,50,0,50,100.0
2020-02-01,50,1,2,4.0
2020-02-01,50,16,1,2.0
2020-02-01,50,18,1,2.0
2020-02-01,50,21,1,2.0
2020-02-01,50,34,1,2.0
2020-02-01,50,37,2,4.0
2020-02-01,50,46,1,2.0
2020-02-01,50,48,1,2.0
2020-02-01,50,64,2,4.0
2020-03-01,74,0,74,100.0
2020-03-01,74,1,1,1.35
2020-03-01,74,2,1,1.35
2020-03-01,74,13,1,1.35
2020-03-01,74,14,1,1.35
2020-03-01,74,18,1,1.35
2020-03-01,74,24,1,1.35
2020-03-01,74,26,1,1.35
2020-03-01,74,29,2,2.7
2020-03-01,74,32,1,1.35
2020-03-01,74,33,1,1.35
2020-03-01,74,39,1,1.35
2020-03-01,74,42,1,1.35
2020-03-01,74,43,1,1.35
2020-03-01,74,44,1,1.35
2020-03-01,74,58,1,1.35
2020-03-01,74,60,1,1.35
2020-03-01,74,62,1,1.35
2020-03-01,74,69,1,1.35
2020-03-01,74,73,1,1.35
2020-04-01,61,0,61,100.0
2020-04-01,61,1,3,4.92
2020-04-01,61,10,1,1.64
2020-04-01,61,17,1,1.64
2020-04-01,61,29,1,1.64
2020-04-01,61,44,1,1.64
2020-04-01,61,50,1,1.64
2020-04-01,61,52,1,1.64
2020-04-01,61,58,1,1.64
2020-04-01,61,60,1,1.64
2020-04-01,61,61,1,1.64
2020-04-01,61,66,3,4.92
2020-04-01,61,67,1,1.64
2020-04-01,61,68,1,1.64
2020-04-01,61,71,1,1.64
2020-05-01,67,0,67,100.0
2020-05-01,67,1,2,2.99
2020-05-01,67,4,1,1.49
2020-05-01,67,10,2,2.99
2020-05-01,67,11,2,2.99
2020-05-01,67,15,1,1.49
2020-05-01,67,19,1,1.49
2020-05-01,67,23,1,1.49
2020-05-01,67,29,1,1.49
2020-05-01,67,36,1,1.49
2020-05-01,67,38,1,1.49
2020-05-01,67,44,2,2.99
2020-05-01,67,49,1,1.49
2020-05-01,67,50,1,1.49
2020-05-01,67,52,1,1.49
2020-05-01,67,53,1,1.49
2020-05-01,67,66,2,2.99
2020-05-01,67,69,1,1.49
2020-05-01,67,75,1,1.49
2020-06-01,74,0,74,100.0
2020-06-01,74,1,3,4.05
2020-06-01,74,21,1,1.35
2020-06-01,74,23,1,1.35
2020-06-01,74,25,1,1.35
2020-06-01,74,26,1,1.35
2020-06-01,74,36,1,1.35
2020-06-01,74,42,1,1.35
2020-06-01,74,43,1,1.35
2020-06-01,74,48,1,1.35
2020-06-01,74,58,1,1.35
2020-06-01,74,61,1,1.35
2020-06-01,74,65,1,1.35
2020-06-01,74,69,1,1.35
2020-07-01,76,0,76,100.0
2020-07-01,76,1,3,3.95
2020-07-01,76,7,1,1.32
2020-07-01,76,9,1,1.32
2020-07-01,76,13,1,1.32
2020-07-01,76,15,1,1.32
2020-07-01,76,30,1,1.32
2020-07-01,76,41,1,1.32
2020-07-01,76,55,1,1.32
2020-07-01,76,56,1,1.32
2020-07-01,76,70,1,1.32
2020-07-01,76,71,1,1.32
2020-07-01,76,73,1,1.32
2020-08-01,63,0,63,100.0
2020-08-01,63,1,3,4.76
2020-08-01,63,2,1,1.59
2020-08-01,63,3,1,1.59
2020-08-01,63,4,1,1.59
2020-08-01,63,13,1,1.59
2020-08-01,63,16,1,1.59
2020-08-01,63,22,1,1.59
2020-08-01,63,27,1,1.59
2020-08-01,63,28,1,1.59
2020-08-01,63,30,1,1.59
2020-08-01,63,34,1,1.59
2020-08-01,63,35,1,1.59
2020-08-01,63,39,1,1.59
2020-08-01,63,42,1,1.59
2020-08-01,63,45,1,1.59
2020-08-01,63,61,1,1.59
2020-08-01,63,62,1,1.59
2020-08-01,63,69,1,1.59
2020-08-01,63,70,1,1.59
2020-09-01,71,0,71,100.0
2020-09-01,71,1,2,2.82
2020-09-01,71,3,2,2.82
2020-09-01,71,6,1,1.41
2020-09-01,71,9,1,1.41
2020-09-01,71,10,1,1.41
2020-09-01,71,15,1,1.41
2020-09-01,71,33,1,1.41
2020-09-01,71,37,1,1.41
2020-09-01,71,38,1,1.41
2020-09-01,71,46,1,1.41
2020-09-01,71,48,1,1.41
2020-09-01,71,50,1,1.41
2020-09-01,71,64,2,2.82
2020-09-01,71,65,1,1.41
2020-09-01,71,66,1,1.41
2020-09-01,71,68,1,1.41
2020-10-01,86,0,86,100.0
2020-10-01,86,1,1,1.16
2020-10-01,86,4,1,1.16
2020-10-01,86,13,1,1.16
2020-10-01,86,15,1,1.16
2020-10-01,86,23,1,1.16
2020-10-01,86,24,1,1.16
2020-10-01,86,26,1,1.16
2020-10-01,86,29,1,1.16
2020-10-01,86,32,1,1.16
2020-10-01,86,41,2,2.33
2020-10-01,86,50,1,1.16
2020-10-01,86,51,2,2.33
2020-10-01,86,52,1,1.16
2020-10-01,86,55,1,1.16
2020-10-01,86,58,2,2.33
2020-10-01,86,67,2,2.33
2020-11-01,89,0,89,100.0
2020-11-01,89,4,1,1.12
2020-11-01,89,8,1,1.12
2020-11-01,89,13,2,2.25
2020-11-01,89,15,1,1.12
2020-11-01,89,16,1,1.12
2020-11-01,89,19,1,1.12
2020-11-01,89,21,2,2.25
2020-11-01,89,29,1,1.12
2020-11-01,89,34,1,1.12
2020-11-01,89,35,1,1.12
2020-11-01,89,44,1,1.12
2020-11-01,89,45,1,1.12
2020-11-01,89,47,2,2.25
2020-11-01,89,56,1,1.12
2020-11-01,89,57,1,1.12
2020-11-01,89,58,1,1.12
2020-11-01,89,60,1,1.12
2020-11-01,89,66,1,1.12
2020-11-01,89,67,1,1.12
2020-11-01,89,68,1,1.12
2020-12-01,111,0,111,100.0
2020-12-01,111,1,5,4.5
2020-12-01,111,11,1,0.9
2020-12-01,111,17,1,0.9
2020-12-01,111,21,1,0.9
2020-12-01,111,22,1,0.9
2020-12-01,111,23,2,1.8
2020-12-01,111,25,1,0.9
2020-12-01,111,32,1,0.9
2020-12-01,111,34,1,0.9
2020-12-01,111,38,1,0.9
2020-12-01,111,40,1,0.9
2020-12-01,111,42,1,0.9
2020-12-01,111,44,1,0.9
2020-12-01,111,47,1,0.9
2020-12-01,111,50,1,0.9
2020-12-01,111,52,1,0.9
2020-12-01,111,53,1,0.9
2020-12-01,111,54,1,0.9
2020-12-01,111,56,1,0.9
2020-12-01,111,58,1,0.9
2020-12-01,111,62,2,1.8
2020-12-01,111,63,1,0.9
2020-12-01,111,66,1,0.9
2021-01-01,94,0,94,100.0
2021-01-01,94,1,3,3.19
2021-01-01,94,2,1,1.06
2021-01-01,94,3,1,1.06
2021-01-01,94,4,1,1.06
2021-01-01,94,7,1,1.06
2021-01-01,94,10,1,1.06
2021-01-01,94,13,1,1.06
2021-01-01,94,16,1,1.06
2021-01-01,94,18,1,1.06
2021-01-01,94,21,1,1.06
2021-01-01,94,25,1,1.06
2021-01-01,94,27,1,1.06
2021-01-01,94,29,1,1.06
2021-01-01,94,32,1,1.06
2021-01-01,94,35,1,1.06
2021-01-01,94,42,1,1.06
2021-01-01,94,43,1,1.06
2021-01-01,94,48,1,1.06
2021-01-01,94,49,1,1.06
2021-01-01,94,52,1,1.06
2021-01-01,94,59,1,1.06
2021-01-01,94,61,1,1.06
2021-01-01,94,62,1,1.06
2021-02-01,96,0,96,100.0
2021-02-01,96,1,3,3.13
2021-02-01,96,2,1,1.04
2021-02-01,96,3,1,1.04
2021-02-01,96,7,1,1.04
2021-02-01,96,9,1,1.04
2021-02-01,96,14,1,1.04
2021-02-01,96,15,1,1.04
2021-02-01,96,24,1,1.04
2021-02-01,96,26,1,1.04
2021-02-01,96,27,1,1.04
2021-02-01,96,30,1,1.04
2021-02-01,96,35,1,1.04
2021-02-01,96,40,1,1.04
2021-02-01,96,44,1,1.04
2021-02-01,96,46,1,1.04
2021-02-01,96,52,1,1.04
2021-02-01,96,62,1,1.04
2021-02-01,96,63,1,1.04
2021-03-01,93,0,93,100.0
2021-03-01,93,1,2,2.15
2021-03-01,93,14,1,1.08
2021-03-01,93,16,1,1.08
2021-03-01,93,18,1,1.08
2021-03-01,93,26,1,1.08
2021-03-01,93,36,1,1.08
2021-03-01,93,37,1,1.08
2021-03-01,93,39,1,1.08
2021-03-01,93,41,1,1.08
2021-03-01,93,44,1,1.08
2021-03-01,93,52,1,1.08
2021-03-01,93,54,1,1.08
2021-03-01,93,55,1,1.08
2021-03-01,93,56,1,1.08
2021-03-01,93,58,1,1.08
2021-03-01,93,59,1,1.08
2021-03-01,93,65,1,1.08
2021-04-01,123,0,123,100.0
2021-04-01,123,1,2,1.63
2021-04-01,123,4,1,0.81
2021-04-01,123,5,1,0.81
2021-04-01,123,6,1,0.81
2021-04-01,123,7,1,0.81
2021-04-01,123,9,1,0.81
2021-04-01,123,14,1,0.81
2021-04-01,123,15,1,0.81
2021-04-01,123,16,1,0.81
2021-04-01,123,19,1,0.81
2021-04-01,123,20,2,1.63
2021-04-01,123,23,1,0.81
2021-04-01,123,25,1,0.81
2021-04-01,123,27,1,0.81
2021-04-01,123,28,1,0.81
2021-04-01,123,30,1,0.81
2021-04-01,123,31,1,0.81
2021-04-01,123,36,1,0.81
2021-04-01,123,40,1,0.81
2021-04-01,123,46,1,0.81
2021-04-01,123,47,2,1.63
2021-04-01,123,48,1,0.81
2021-04-01,123,49,1,0.81
2021-04-01,123,50,2,1.63
2021-04-01,123,53,2,1.63
2021-04-01,123,57,2,1.63
2021-04-01,123,62,1,0.81
2021-05-01,106,0,106,100.0
2021-05-01,106,1,2,1.89
2021-05-01,106,6,1,0.94
2021-05-01,106,9,1,0.94
2021-05-01,106,10,1,0.94
2021-05-01,106,11,1,0.94
2021-05-01,106,12,1,0.94
2021-05-01,106,20,1,0.94
2021-05-01,106,24,1,0.94
2021-05-01,106,27,1,0.94
2021-05-01,106,37,1,0.94
2021-05-01,106,47,1,0.94
2021-05-01,106,48,1,0.94
2021-05-01,106,51,1,0.94
2021-05-01,106,52,1,0.94
2021-05-01,106,53,1,0.94
2021-05-01,106,54,1,0.94
2021-05-01,106,56,2,1.89
2021-05-01,106,62,1,0.94
2021-06-01,113,0,113,100.0
2021-06-01,113,1,3,2.65
2021-06-01,113,3,1,0.88
2021-06-01,113,6,1,0.88
2021-06-01,113,11,1,0.88
2021-06-01,113,23,3,2.65
2021-06-01,113,25,1,0.88
2021-06-01,113,26,2,1.77
2021-06-01,113,28,1,0.88
2021-06-01,113,35,2,1.77
2021-06-01,113,38,1,0.88
2021-06-01,113,42,1,0.88
2021-06-01,113,46,2,1.77
2021-06-01,113,54,1,0.88
2021-06-01,113,56,1,0.88
2021-06-01,113,57,1,0.88
2021-06-01,113,61,1,0.88
2021-07-01,132,0,132,100.0
2021-07-01,132,1,3,2.27
2021-07-01,132,2,1,0.76
2021-07-01,132,8,1,0.76
2021-07-01,132,14,1,0.76
2021-07-01,132,16,1,0.76
2021-07-01,132,21,1,0.76
2021-07-01,132,23,1,0.76
2021-07-01,132,26,1,0.76
2021-07-01,132,27,1,0.76
2021-07-01,132,28,3,2.27
2021-07-01,132,29,2,1.52
2021-07-01,132,30,2,1.52
2021-07-01,132,34,1,0.76
2021-07-01,132,35,1,0.76
2021-07-01,132,40,1,0.76
2021-07-01,132,42,1,0.76
2021-07-01,132,43,2,1.52
2021-07-01,132,46,1,0.76
2021-07-01,132,50,1,0.76
2021-07-01,132,53,1,0.76
2021-07-01,132,58,1,0.76
2021-07-01,132,61,1,0.76
2021-08-01,151,0,151,100.0
2021-08-01,151,1,4,2.65
2021-08-01,151,2,1,0.66
2021-08-01,151,3,1,0.66
2021-08-01,151,4,1,0.66
2021-08-01,151,8,1,0.66
2021-08-01,151,11,1,0.66
2021-08-01,151,12,2,1.32
2021-08-01,151,13,2,1.32
2021-08-01,151,14,1,0.66
2021-08-01,151,15,1,0.66
2021-08-01,151,16,3,1.99
2021-08-01,151,17,1,0.66
2021-08-01,151,18,1,0.66
2021-08-01,151,22,1,0.66
2021-08-01,151,25,1,0.66
2021-08-01,151,28,1,0.66
2021-08-01,151,29,1,0.66
2021-08-01,151,30,1,0.66
2021-08-01,151,31,1,0.66
2021-08-01,151,32,2,1.32
2021-08-01,151,33,1,0.66
2021-08-01,151,34,1,0.66
2021-08-01,151,36,1,0.66
2021-08-01,151,39,1,0.66
2021-08-01,151,44,1,0.66
2021-08-01,151,45,1,0.66
2021-08-01,151,46,2,1.32
2021-08-01,151,47,1,0.66
2021-08-01,151,48,1,0.66
2021-08-01,151,50,1,0.66
2021-08-01,151,51,2,1.32
2021-08-01,151,55,1,0.66
2021-08-01,151,59,1,0.66
2021-08-01,151,60,1,0.66
2021-09-01,127,0,127,100.0
2021-09-01,127,1,3,2.36
2021-09-01,127,2,1,0.79
2021-09-01,127,3,1,0.79
2021-09-01,127,4,1,0.79
2021-09-01,127,7,1,0.79
2021-09-01,127,10,1,0.79
2021-09-01,127,12,1,0.79
2021-09-01,127,13,1,0.79
2021-09-01,127,16,1,0.79
2021-09-01,127,19,1,0.79
2021-09-01,127,20,1,0.79
2021-09-01,127,23,1,0.79
2021-09-01,127,26,1,0.79
2021-09-01,127,27,1,0.79
2021-09-01,127,35,2,1.57
2021-09-01,127,40,1,0.79
2021-09-01,127,42,2,1.57
2021-09-01,127,45,1,0.79
2021-09-01,127,48,1,0.79
2021-09-01,127,50,1,0.79
2021-09-01,127,54,1,0.79
2021-09-01,127,56,2,1.57
2021-09-01,127,58,1,0.79
2021-10-01,137,0,137,100.0
2021-10-01,137,1,1,0.73
2021-10-01,137,2,2,1.46
2021-10-01,137,3,4,2.92
2021-10-01,137,5,2,1.46
2021-10-01,137,6,1,0.73
2021-10-01,137,12,1,0.73
2021-10-01,137,15,1,0.73
2021-10-01,137,16,2,1.46
2021-10-01,137,17,2,1.46
2021-10-01,137,23,2,1.46
2021-10-01,137,24,2,1.46
2021-10-01,137,26,1,0.73
2021-10-01,137,27,1,0.73
2021-10-01,137,28,1,0.73
2021-10-01,137,29,1,0.73
2021-10-01,137,30,1,0.73
2021-10-01,137,31,1,0.73
2021-10-01,137,40,1,0.73
2021-10-01,137,43,1,0.73
2021-10-01,137,47,1,0.73
2021-10-01,137,50,1,0.73
2021-10-01,137,51,1,0.73
2021-10-01,137,53,1,0.73
2021-10-01,137,55,2,1.46
2021-10-01,137,56,1,0.73
2021-10-01,137,57,2,1.46
2021-11-01,139,0,139,100.0
2021-11-01,139,1,4,2.88
2021-11-01,139,3,1,0.72
2021-11-01,139,4,1,0.72
2021-11-01,139,7,1,0.72
2021-11-01,139,10,2,1.44
2021-11-01,139,11,1,0.72
2021-11-01,139,14,1,0.72
2021-11-01,139,15,1,0.72
2021-11-01,139,19,2,1.44
2021-11-01,139,22,1,0.72
2021-11-01,139,23,4,2.88
2021-11-01,139,26,1,0.72
2021-11-01,139,28,1,0.72
2021-11-01,139,29,1,0.72
2021-11-01,139,34,1,0.72
2021-11-01,139,35,1,0.72
2021-11-01,139,37,1,0.72
2021-11-01,139,39,1,0.72
2021-11-01,139,40,2,1.44
2021-11-01,139,42,1,0.72
2021-11-01,139,43,1,0.72
2021-11-01,139,44,1,0.72
2021-11-01,139,47,1,0.72
2021-11-01,139,48,1,0.72
2021-11-01,139,49,1,0.72
2021-11-01,139,53,1,0.72
2021-11-01,139,54,1,0.72
2021-11-01,139,56,1,0.72
2021-12-01,140,0,140,100.0
2021-12-01,140,1,3,2.14
2021-12-01,140,2,1,0.71
2021-12-01,140,5,1,0.71
2021-12-01,140,9,1,0.71
2021-12-01,140,15,2,1.43
2021-12-01,140,18,1,0.71
2021-12-01,140,19,1,0.71
2021-12-01,140,21,1,0.71
2021-12-01,140,23,1,0.71
2021-12-01,140,28,1,0.71
2021-12-01,140,29,1,0.71
2021-12-01,140,34,1,0.71
2021-12-01,140,36,2,1.43
2021-12-01,140,38,1,0.71
2021-12-01,140,39,1,0.71
2021-12-01,140,40,1,0.71
2021-12-01,140,47,3,2.14
2021-12-01,140,48,1,0.71
2021-12-01,140,55,1,0.71
2022-01-01,171,0,171,100.0
2022-01-01,171,1,4,2.34
2022-01-01,171,3,1,0.58
2022-01-01,171,4,2,1.17
2022-01-01,171,5,1,0.58
2022-01-01,171,6,1,0.58
2022-01-01,171,11,2,1.17
2022-01-01,171,14,1,0.58
2022-01-01,171,17,1,0.58
2022-01-01,171,18,1,0.58
2022-01-01,171,19,1,0.58
2022-01-01,171,21,1,0.58
2022-01-01,171,25,1,0.58
2022-01-01,171,29,1,0.58
2022-01-01,171,39,2,1.17
2022-01-01,171,44,1,0.58
2022-01-01,171,48,1,0.58
2022-01-01,171,49,3,1.75
2022-01-01,171,51,1,0.58
2022-01-01,171,54,1,0.58
2022-02-01,153,0,153,100.0
2022-02-01,153,1,3,1.96
2022-02-01,153,2,1,0.65
2022-02-01,153,6,3,1.96
2022-02-01,153,7,1,0.65
2022-02-01,153,9,1,0.65
2022-02-01,153,10,1,0.65
2022-02-01,153,11,2,1.31
2022-02-01,153,12,2,1.31
2022-02-01,153,15,1,0.65
2022-02-01,153,16,2,1.31
2022-02-01,153,17,1,0.65
2022-02-01,153,18,3,1.96
2022-02-01,153,20,1,0.65
2022-02-01,153,21,2,1.31
2022-02-01,153,22,1,0.65
2022-02-01,153,24,1,0.65
2022-02-01,153,25,1,0.65
2022-02-01,153,26,1,0.65
2022-02-01,153,27,1,0.65
2022-02-01,153,28,1,0.65
2022-02-01,153,30,1,0.65
2022-02-01,153,35,2,1.31
2022-02-01,153,38,1,0.65
2022-02-01,153,44,1,0.65
2022-02-01,153,45,1,0.65
2022-02-01,153,47,1,0.65
2022-02-01,153,52,1,0.65
2022-02-01,153,54,1,0.65
2022-03-01,174,0,174,100.0
2022-03-01,174,1,3,1.72
2022-03-01,174,2,2,1.15
2022-03-01,174,3,1,0.57
2022-03-01,174,5,2,1.15
2022-03-01,174,10,1,0.57
2022-03-01,174,12,1,0.57
2022-03-01,174,13,2,1.15
2022-03-01,174,14,1,0.57
2022-03-01,174,15,1,0.57
2022-03-01,174,16,1,0.57
2022-03-01,174,17,1,0.57
2022-03-01,174,20,1,0.57
2022-03-01,174,22,1,0.57
2022-03-01,174,27,1,0.57
2022-03-01,174,31,1,0.57
2022-03-01,174,32,1,0.57
2022-03-01,174,33,1,0.57
2022-03-01,174,34,2,1.15
2022-03-01,174,35,1,0.57
2022-03-01,174,39,1,0.57
2022-03-01,174,40,1,0.57
2022-03-01,174,41,2,1.15
2022-03-01,174,42,1,0.57
2022-03-01,174,44,1,0.57
2022-03-01,174,45,3,1.72
2022-03-01,174,49,1,0.57
2022-03-01,174,50,1,0.57
2022-03-01,174,53,2,1.15
2022-04-01,170,0,170,100.0
2022-04-01,170,1,3,1.76
2022-04-01,170,3,1,0.59
2022-04-01,170,7,1,0.59
2022-04-01,170,8,1,0.59
2022-04-01,170,9,2,1.18
2022-04-01,170,12,1,0.59
2022-04-01,170,13,1,0.59
2022-04-01,170,15,1,0.59
2022-04-01,170,16,1,0.59
2022-04-01,170,17,2,1.18
2022-04-01,170,26,1,0.59
2022-04-01,170,27,2,1.18
2022-04-01,170,29,2,1.18
2022-04-01,170,30,1,0.59
2022-04-01,170,31,2,1.18
2022-04-01,170,33,1,0.59
2022-04-01,170,35,3,1.76
2022-04-01,170,38,1,0.59
2022-04-01,170,41,2,1.18
2022-04-01,170,42,1,0.59
2022-04-01,170,44,2,1.18
2022-04-01,170,45,1,0.59
2022-04-01,170,52,1,0.59
2022-05-01,157,0,157,100.0
2022-05-01,157,1,5,3.18
2022-05-01,157,5,1,0.64
2022-05-01,157,6,1,0.64
2022-05-01,157,8,2,1.27
2022-05-01,157,9,1,0.64
2022-05-01,157,11,1,0.64
2022-05-01,157,12,2,1.27
2022-05-01,157,13,3,1.91
2022-05-01,157,14,2,1.27
2022-05-01,157,16,1,0.64
2022-05-01,157,20,3,1.91
2022-05-01,157,21,1,0.64
2022-05-01,157,24,1,0.64
2022-05-01,157,25,1,0.64
2022-05-01,157,29,1,0.64
2022-05-01,157,30,2,1.27
2022-05-01,157,32,1,0.64
2022-05-01,157,33,2,1.27
2022-05-01,157,34,1,0.64
2022-05-01,157,35,1,0.64
2022-05-01,157,42,1,0.64
2022-05-01,157,47,1,0.64
2022-05-01,157,50,1,0.64
2022-06-01,172,0,172,100.0
2022-06-01,172,1,6,3.49
2022-06-01,172,2,1,0.58
2022-06-01,172,5,1,0.58
2022-06-01,172,6,1,0.58
2022-06-01,172,7,3,1.74
2022-06-01,172,8,1,0.58
2022-06-01,172,10,1,0.58
2022-06-01,172,17,2,1.16
2022-06-01,172,19,1,0.58
2022-06-01,172,21,2,1.16
2022-06-01,172,23,2,1.16
2022-06-01,172,25,1,0.58
2022-06-01,172,26,1,0.58
2022-06-01,172,27,2,1.16
2022-06-01,172,28,1,0.58
2022-06-01,172,30,1,0.58
2022-06-01,172,40,1,0.58
2022-06-01,172,43,1,0.58
2022-06-01,172,44,1,0.58
2022-06-01,172,45,2,1.16
2022-06-01,172,46,1,0.58
2022-06-01,172,48,1,0.58
2022-06-01,172,49,1,0.58
2022-07-01,177,0,177,100.0
2022-07-01,177,1,6,3.39
2022-07-01,177,2,1,0.56
2022-07-01,177,3,2,1.13
2022-07-01,177,4,1,0.56
2022-07-01,177,8,4,2.26
2022-07-01,177,9,1,0.56
2022-07-01,177,10,1,0.56
2022-07-01,177,13,2,1.13
2022-07-01,177,14,1,0.56
2022-07-01,177,15,1,0.56
2022-07-01,177,17,1,0.56
2022-07-01,177,20,1,0.56
2022-07-01,177,21,1,0.56
2022-07-01,177,24,1,0.56
2022-07-01,177,25,1,0.56
2022-07-01,177,27,1,0.56
2022-07-01,177,29,1,0.56
2022-07-01,177,31,1,0.56
2022-07-01,177,32,2,1.13
2022-07-01,177,34,1,0.56
2022-07-01,177,36,1,0.56
2022-07-01,177,39,1,0.56
2022-07-01,177,40,2,1.13
2022-07-01,177,42,1,0.56
2022-07-01,177,43,1,0.56
2022-07-01,177,48,1,0.56
2022-07-01,177,49,2,1.13
2022-08-01,201,0,201,100.0
2022-08-01,201,1,6,2.99
2022-08-01,201,3,1,0.5
2022-08-01,201,5,1,0.5
2022-08-01,201,7,2,1.0
2022-08-01,201,8,1,0.5
2022-08-01,201,10,1,0.5
2022-08-01,201,12,1,0.5
2022-08-01,201,16,1,0.5
2022-08-01,201,20,1,0.5
2022-08-01,201,21,1,0.5
2022-08-01,201,23,4,1.99
2022-08-01,201,24,1,0.5
2022-08-01,201,25,2,1.0
2022-08-01,201,26,1,0.5
2022-08-01,201,27,1,0.5
2022-08-01,201,32,1,0.5
2022-08-01,201,33,3,1.49
2022-08-01,201,34,2,1.0
2022-08-01,201,35,1,0.5
2022-08-01,201,36,2,1.0
2022-08-01,201,39,1,0.5
2022-08-01,201,42,1,0.5
2022-08-01,201,43,2,1.0
2022-08-01,201,44,4,1.99
2022-08-01,201,46,2,1.0
2022-08-01,201,48,4,1.99
2022-09-01,174,0,174,100.0
2022-09-01,174,1,4,2.3
2022-09-01,174,2,1,0.57
2022-09-01,174,3,3,1.72
2022-09-01,174,5,2,1.15
2022-09-01,174,6,1,0.57
2022-09-01,174,7,1,0.57
2022-09-01,174,8,2,1.15
2022-09-01,174,10,2,1.15
2022-09-01,174,11,1,0.57
2022-09-01,174,14,2,1.15
2022-09-01,174,15,2,1.15
2022-09-01,174,16,2,1.15
2022-09-01,174,21,1,0.57
2022-09-01,174,22,2,1.15
2022-09-01,174,23,1,0.57
2022-09-01,174,24,1,0.57
2022-09-01,174,25,2,1.15
2022-09-01,174,26,2,1.15
2022-09-01,174,30,2,1.15
2022-09-01,174,31,2,1.15
2022-09-01,174,32,2,1.15
2022-09-01,174,33,1,0.57
2022-09-01,174,34,2,1.15
2022-09-01,174,38,1,0.57
2022-09-01,174,43,1,0.57
2022-09-01,174,44,1,0.57
2022-09-01,174,47,1,0.57
2022-10-01,207,0,207,100.0
2022-10-01,207,1,7,3.38
2022-10-01,207,2,1,0.48
2022-10-01,207,3,1,0.48
2022-10-01,207,4,2,0.97
2022-10-01,207,5,1,0.48
2022-10-01,207,6,3,1.45
2022-10-01,207,8,1,0.48
2022-10-01,207,9,1,0.48
2022-10-01,207,10,1,0.48
2022-10-01,207,15,1,0.48
2022-10-01,207,17,1,0.48
2022-10-01,207,25,4,1.93
2022-10-01,207,27,1,0.48
2022-10-01,207,37,1,0.48
2022-10-01,207,39,1,0.48
